# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down,mean_episode_return_bidding,loss_bidding
24,1708663522.341711,38400,-0.09849373251199722,0.019225362688302994,0.10208717733621597,0.02575337328016758,0.09815436601638794,0.024853285402059555,-0.23804819583892822,0.4359803795814514
25,1708663523.7160885,40000,-0.09849373251199722,0.019225362688302994,0.09803017228841782,0.023594284430146217,0.09815436601638794,0.024853285402059555,-0.23804819583892822,0.4359803795814514
26,1708663531.3493905,41600,-0.09682340174913406,0.01979265734553337,0.09803017228841782,0.023594284430146217,0.09815436601638794,0.024853285402059555,-0.23804819583892822,0.4359803795814514
27,1708663533.101787,43200,-0.09682340174913406,0.01979265734553337,0.09803017228841782,0.023594284430146217,0.0971212387084961,0.02606913447380066,-0.23804819583892822,0.4359803795814514
28,1708663534.5637314,44800,-0.09682340174913406,0.01979265734553337,0.09699168056249619,0.02531779743731022,0.0971212387084961,0.02606913447380066,-0.23804819583892822,0.4359803795814514
29,1708663541.8694966,46400,-0.09711005538702011,0.019512053579092026,0.09699168056249619,0.02531779743731022,0.0971212387084961,0.02606913447380066,-0.23804819583892822,0.4359803795814514
30,1708663543.7151103,48000,-0.09711005538702011,0.019512053579092026,0.09699168056249619,0.02531779743731022,0.09609830379486084,0.02686658315360546,-0.23804819583892822,0.4359803795814514
31,1708663545.415716,49600,-0.09711005538702011,0.019512053579092026,0.09629306942224503,0.025098077952861786,0.09609830379486084,0.02686658315360546,-0.23804819583892822,0.4359803795814514
32,1708663552.1985784,51200,-0.09577096998691559,0.02020295336842537,0.09629306942224503,0.025098077952861786,0.09609830379486084,0.02686658315360546,-0.23804819583892822,0.4359803795814514
33,1708663554.2520533,52800,-0.09577096998691559,0.02020295336842537,0.09629306942224503,0.025098077952861786,0.09557551890611649,0.026012713089585304,-0.23804819583892822,0.4359803795814514
34,1708663556.2780724,54400,-0.09577096998691559,0.02020295336842537,0.0958646684885025,0.02371925488114357,0.09557551890611649,0.026012713089585304,-0.23804819583892822,0.4359803795814514
35,1708663557.0648642,56000,-0.09577096998691559,0.02020295336842537,0.0958646684885025,0.02371925488114357,0.09557551890611649,0.026012713089585304,-0.22991761565208435,0.41372016072273254
36,1708663562.6583047,57600,-0.09635619819164276,0.017666716128587723,0.0958646684885025,0.02371925488114357,0.09557551890611649,0.026012713089585304,-0.22991761565208435,0.41372016072273254
37,1708663564.9242687,59200,-0.09635619819164276,0.017666716128587723,0.0958646684885025,0.02371925488114357,0.09643854945898056,0.026178274303674698,-0.22991761565208435,0.41372016072273254
38,1708663567.0250978,60800,-0.09635619819164276,0.017666716128587723,0.09699412435293198,0.025155307725071907,0.09643854945898056,0.026178274303674698,-0.22991761565208435,0.41372016072273254
39,1708663573.0042229,62400,-0.09618007391691208,0.018450910225510597,0.09699412435293198,0.025155307725071907,0.09643854945898056,0.026178274303674698,-0.22991761565208435,0.41372016072273254
40,1708663575.5891917,64000,-0.09618007391691208,0.018450910225510597,0.09699412435293198,0.025155307725071907,0.09680868685245514,0.025246769189834595,-0.22991761565208435,0.41372016072273254
41,1708663577.7542903,65600,-0.09618007391691208,0.018450910225510597,0.09665075689554214,0.023142371326684952,0.09680868685245514,0.025246769189834595,-0.22991761565208435,0.41372016072273254
42,1708663583.554107,67200,-0.0964607521891594,0.017321104183793068,0.09665075689554214,0.023142371326684952,0.09680868685245514,0.025246769189834595,-0.22991761565208435,0.41372016072273254
43,1708663586.2543497,68800,-0.0964607521891594,0.017321104183793068,0.09665075689554214,0.023142371326684952,0.09689982235431671,0.024524826556444168,-0.22991761565208435,0.41372016072273254
44,1708663588.575745,70400,-0.0964607521891594,0.017321104183793068,0.09695055335760117,0.022422349080443382,0.09689982235431671,0.024524826556444168,-0.22991761565208435,0.41372016072273254
